name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;989;0;989;3063;1466;3063;1650;0
header;188;126;188;177;1777;177;1777;126
A;1360;186;1360;186;1360;186;1360;186
A;1437;203;1437;223;1442;223;1442;203
A;988;234;988;262;992;262;992;234
C;999;242;999;263;1015;263;1015;242
C;1105;242;1105;263;1122;263;1122;242
B;1174;243;1174;263;1191;263;1191;243
A;1221;273;1221;303;1228;303;1228;273
C;1551;273;1551;302;1576;302;1576;273
B;1143;282;1143;302;1158;302;1158;282
D;1042;312;1042;341;1060;341;1060;312
A;1150;316;1150;339;1155;339;1155;316
A;1152;355;1152;380;1157;380;1157;355
A;1415;397;1415;416;1419;416;1419;397
B;1389;399;1389;420;1407;420;1407;399
B;1463;399;1463;419;1480;419;1480;399
B;1478;649;1478;670;1497;670;1497;649
B;1364;688;1364;708;1380;708;1380;688
D;1400;845;1400;866;1416;866;1416;845
B;1082;923;1082;944;1100;944;1100;923
A;1144;1006;1144;1036;1148;1036;1148;1006
B;1424;1056;1424;1075;1438;1075;1438;1056
D;1367;1134;1367;1155;1385;1155;1385;1134
B;1201;1172;1201;1193;1218;1193;1218;1172
A;1136;1205;1136;1232;1149;1232;1149;1205
B;1407;1212;1407;1234;1425;1234;1425;1212
A;1035;1243;1035;1272;1040;1272;1040;1243
B;1004;1252;1004;1272;1019;1272;1019;1252
B;1407;1252;1407;1273;1425;1273;1425;1252
B;1082;1475;1082;1501;1097;1501;1097;1475
A;1350;1509;1350;1535;1366;1535;1366;1509
B;1121;1650;1121;1675;1128;1675;1128;1650
D;1042;1651;1042;1677;1057;1677;1057;1651
A;1461;1685;1461;1710;1467;1710;1467;1685
B;1060;1686;1060;1711;1088;1711;1088;1686
B;1242;1719;1242;1745;1258;1745;1258;1719
A;1194;1753;1194;1780;1209;1780;1209;1753
B;1510;1929;1510;1955;1517;1955;1517;1929
A;1376;1965;1376;1990;1390;1990;1390;1965
A;1509;2143;1509;2167;1515;2167;1515;2143
A;1396;2282;1396;2284;1396;2284;1396;2282
A;1284;2387;1284;2413;1299;2413;1299;2387
A;1012;2420;1012;2421;1014;2421;1014;2420
B;1398;2429;1398;2450;1418;2450;1418;2429
A;1253;2847;1253;2872;1262;2872;1262;2847
A;1269;2865;1269;2872;1274;2872;1274;2865
