name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;160;0;139;3055;982;3055;959;0
header;124;176;124;210;1753;210;1753;176
A;878;170;878;170;879;170;879;170
A;323;213;323;214;325;214;325;213
A;469;294;469;294;469;294;469;294
A;404;319;404;321;404;321;404;319
A;525;321;525;322;527;322;527;321
A;631;324;631;324;632;324;632;324
A;718;326;718;326;721;326;721;326
A;590;426;590;429;593;429;593;426
A;602;426;602;428;604;428;604;426
A;827;432;827;432;828;432;828;432
A;391;478;391;479;393;479;393;478
A;449;480;449;480;449;480;449;480
A;930;528;930;528;930;528;930;528
A;752;534;752;534;752;534;752;534
A;634;539;634;539;634;539;634;539
A;472;776;472;777;472;777;472;776
A;624;779;624;779;624;779;624;779
A;707;782;707;782;707;782;707;782
A;792;786;792;786;792;786;792;786
A;912;792;912;793;912;793;912;792
A;929;799;929;827;952;827;952;799
A;743;945;743;946;744;946;744;945
A;159;991;159;992;161;992;161;991
A;856;992;856;992;856;992;856;992
A;313;1072;313;1072;313;1072;313;1072
A;200;1172;200;1172;200;1172;200;1172
A;572;1222;572;1222;572;1222;572;1222
A;174;1223;174;1224;174;1224;174;1223
A;659;1316;659;1317;662;1317;662;1316
A;224;1322;224;1322;224;1322;224;1322
A;452;1352;452;1352;452;1352;452;1352
A;719;1447;719;1449;721;1449;721;1447
A;219;1448;219;1448;220;1448;220;1448
B;939;1485;939;1512;959;1512;959;1485
A;787;1502;787;1502;789;1502;789;1502
A;274;1908;274;1909;274;1909;274;1908
A;179;2104;179;2111;186;2111;186;2104
A;392;2150;392;2157;400;2157;400;2150
C;939;2165;939;2191;959;2191;959;2165
D;633;2379;633;2395;641;2395;641;2379
A;256;2427;256;2433;262;2433;262;2427
A;282;2428;282;2443;289;2443;289;2428
A;417;2471;417;2485;423;2485;423;2471
D;943;2837;943;2863;963;2863;963;2837
A;496;2914;496;2914;496;2914;496;2914
